FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
2969460	hIL7R+-	CD127+-	ANA182	1040026
2969461	hCD27++	CD27++	ANA40	1040027
2969462	hCD38++	CD38++	ANA808	1040027
2969463	hCD27++	CD27++	ANA40	1040028
2969464	hCD38++	CD38++	ANA808	1040028
2969465	hCD27-	CD27-	ANA40	1040029
2969466	hCD38++	CD38++	ANA808	1040029
2969467	hCD24-	CD24-	ANA807	1040029
2969468	hCD27-	CD27-	ANA40	1040030
2969469	hCD38++	CD38++	ANA808	1040030
2969470	hCD24-	CD24-	ANA807	1040030
2969471	hCD24-	CD24-	ANA807	1040031
2969472	hCD24-	CD24-	ANA807	1040032
2969473	PTPRC/iso:CD45RO+	B220+	ANA822	1040033
2969474	PTPRC/iso:CD45RO+	B220+	ANA822	1040034
2969475	hCR2-	CD21-	ANA919	1040035
2969476	hCR2-	CD21-	ANA919	1040036
2969477	hFAS+	CD95+	ANA85	1040037
2969478	hFAS+	CD95+	ANA85	1040038
2969479	hCXCR3+	CXCR3+	ANA76	1040039
2969480	hCXCR3+	CXCR3+	ANA76	1040040
2969481	hFAS+	CD95+	ANA85	1040041
2969482	hFAS+	CD95+	ANA85	1040042
2969483	PTPRC/iso:CD45RO+	B220+	ANA822	1040043
2969484	PTPRC/iso:CD45RO+	B220+	ANA822	1040044
2969485	hCR2-	CD21-	ANA919	1040045
2969486	hCR2-	CD21-	ANA919	1040046
2969487	hCD24-	CD24-	ANA807	1040047
2969488	hCD24-	CD24-	ANA807	1040048
2969489	hCXCR3+	CXCR3+	ANA76	1040049
2969490	hCXCR3+	CXCR3+	ANA76	1040050
2969491	hCD24-	CD24-	ANA807	1040051
2969492	hCD24-	CD24-	ANA807	1040052
2969493	hFAS+	CD95+	ANA85	1040053
2969494	hFAS+	CD95+	ANA85	1040054
2969495	PTPRC/iso:CD45RO+	B220+	ANA822	1040055
2969496	PTPRC/iso:CD45RO+	B220+	ANA822	1040056
2969497	hCR2-	CD21-	ANA919	1040057
2969498	hCR2-	CD21-	ANA919	1040058
2969499	hCXCR3+	CXCR3+	ANA76	1040059
2969500	hCXCR3+	CXCR3+	ANA76	1040060
2969501	hCR2-	CD21-	ANA919	1040061
2969502	hCR2-	CD21-	ANA919	1040062
2969503	hCD24-	CD24-	ANA807	1040063
2969504	hCD24-	CD24-	ANA807	1040064
2969505	hFAS+	CD95+	ANA85	1040065
2969506	hFAS+	CD95+	ANA85	1040066
2969507	hCXCR3+	CXCR3+	ANA76	1040067
2969508	hCXCR3+	CXCR3+	ANA76	1040068
2969509		95+		1040069
2969510	PTPRC/iso:CD45RO+	B220+	ANA822	1040070
2969511	hCR2-	CD21-	ANA919	1040071
2969512	hCD24-	CD24-	ANA807	1040072
2969513	hCXCR3+	CXCR3+	ANA76	1040073
2969514	hIGHD+	IgD+	ANA813	1040074
2969515	hCD27-	CD27-	ANA40	1040074
2969516	hIGHD+	IgD+	ANA813	1040075
2969517	hCD27+	CD27+	ANA40	1040075
2969518	hIGHD-	IgD-	ANA813	1040076
2969519	hCD27-	CD27-	ANA40	1040076
2969520	hIGHD-	IgD-	ANA813	1040077
2969521	hCD27+	CD27+	ANA40	1040077
2969522		NA		1040078
2969523	PTPRC/iso:CD45RO+	B220+	ANA822	1040079
2969524	PTPRC/iso:CD45RO+	B220+	ANA822	1040080
2969525		NA		1040081
2969526		NA		1040082
2969527	hMME+	CD10+	ANA930	1040083
2969528	hMME+	CD10+	ANA930	1040084
2969529	hMME+	CD10+	ANA930	1040085
2969530	hMME+	CD10+	ANA930	1040086
2969531	hFCER2+	CD23+	ANA922	1040087
2969532	hFCER2+	CD23+	ANA922	1040088
2969533		IGM+		1040089
2969534		IGM+		1040090
2969535	hMME+	CD10+	ANA930	1040091
2969536	hMME+	CD10+	ANA930	1040092
2969537	hFCER2+	CD23+	ANA922	1040093
2969538	hFCER2+	CD23+	ANA922	1040094
2969539		IGM+		1040095
2969540		IGM+		1040096
2969541	hMME+	CD10+	ANA930	1040097
2969542	hMME+	CD10+	ANA930	1040098
2969543	hFCER2+	CD23+	ANA922	1040099
2969544	hFCER2+	CD23+	ANA922	1040100
2969545		IGM+		1040101
2969546		IGM+		1040102
2969547	hFCER2+	CD23+	ANA922	1040103
2969548	hFCER2+	CD23+	ANA922	1040104
2969549		IGM+		1040105
2969550		IGM+		1040106
2969551		T1		1040107
2969552		T1		1040108
2969553		T2		1040109
2969554		T2		1040110
2969555		T3		1040111
2969556		T3		1040112
2969557	hMME+	CD10+	ANA930	1040113
2969558	hMME+	CD10+	ANA930	1040114
2969559		CDIGM+		1040115
2969560		CDIGM+		1040116
2969561		MTG+		1040117
2969562		MTG+		1040118
2969563	hMME+	CD10+	ANA930	1040119
2969564	hMME+	CD10+	ANA930	1040120
2969565	hFCER2+	CD23+	ANA922	1040121
2969566	hFCER2+	CD23+	ANA922	1040122
2969567		IGM+		1040123
2969568		IGM+		1040124
2969569	hMME+	CD10+	ANA930	1040125
2969570	hMME+	CD10+	ANA930	1040126
2969571	hFCER2+	CD23+	ANA922	1040127
2969572	hFCER2+	CD23+	ANA922	1040128
2969573	hFCER2+	CD23+	ANA922	1040129
2969574	hFCER2+	CD23+	ANA922	1040130
2969575		IGM+		1040131
2969576		IGM+		1040132
2969577	hMME+	CD10+	ANA930	1040133
2969578	hMME+	CD10+	ANA930	1040134
2969579	hFCER2+	CD23+	ANA922	1040135
2969580	hFCER2+	CD23+	ANA922	1040136
2969581		IGM+		1040137
2969582		IGM+		1040138
2969583	hMME+	CD10+	ANA930	1040139
2969584	hFCER2+	CD23+	ANA922	1040140
2969585	hIGHD+	IgD+	ANA813	1040141
2969586	hCD27-	CD27-	ANA40	1040141
2969587		MTG-		1040141
2969588	hIGHD+	IgD+	ANA813	1040142
2969589	hCD27-	CD27-	ANA40	1040142
2969590		MTG-		1040142
2969591		IGM+		1040143
2969592	hPTPRC/iso:h6-	CD45RA-	ANA816	1040144
2969593		Memory		1040144
2969594	hPTPRC/iso:h6-	CD45RA-	ANA816	1040145
2969595	hCCR6+	CCR6+	ANA36	1040145
2969596	hCCR4+	CCR4+	ANA34	1040145
2969597	hPTPRC/iso:h6-	CD45RA-	ANA816	1040146
2969598	hCCR6+	CCR6+	ANA36	1040146
2969599	hCCR4+	CCR4+	ANA34	1040146
2969600	hPTPRC/iso:h6-	CD45RA-	ANA816	1040147
2969601	hCCR6+	CCR6+	ANA36	1040147
2969602	hCXCR3+	CXCR3+	ANA76	1040147
2969603	hPTPRC/iso:h6-	CD45RA-	ANA816	1040148
2969604	hCCR6+	CCR6+	ANA36	1040148
2969605	hCXCR3+	CXCR3+	ANA76	1040148
2969606	hPTPRC/iso:h6-	CD45RA-	ANA816	1040149
2969607	hCCR6-	CCR6-	ANA36	1040149
2969608	hCCR4+	CCR4+	ANA34	1040149
2969609	hPTPRC/iso:h6-	CD45RA-	ANA816	1040150
2969610	hCCR6-	CCR6-	ANA36	1040150
2969611	hCCR4+	CCR4+	ANA34	1040150
2969612	hPTPRC/iso:h6-	CD45RA-	ANA816	1040151
2969613	hCXCR5-	CXCR5-	ANA78	1040151
2969614	hCXCR3-	CXCR3-	ANA76	1040151
2969615	hCCR6-	CCR6-	ANA36	1040151
2969616	hPTPRC/iso:h6-	CD45RA-	ANA816	1040152
2969617	hCXCR5-	CXCR5-	ANA78	1040152
2969618	hCXCR3-	CXCR3-	ANA76	1040152
2969619	hCCR6-	CCR6-	ANA36	1040152
2969620	hPTPRC/iso:h6-	CD45RA-	ANA816	1040153
2969621	hCXCR5-	CXCR5-	ANA78	1040153
2969622	hCXCR3-	CXCR3-	ANA76	1040153
2969623	hCCR6+	CCR6+	ANA36	1040153
2969624	hPTPRC/iso:h6-	CD45RA-	ANA816	1040154
2969625	hCXCR5-	CXCR5-	ANA78	1040154
2969626	hCXCR3-	CXCR3-	ANA76	1040154
2969627	hCCR6+	CCR6+	ANA36	1040154
2969628	hPTPRC/iso:h6-	CD45RA-	ANA816	1040155
2969629	hCXCR5-	CXCR5-	ANA78	1040155
2969630	hCXCR3+	CXCR3+	ANA76	1040155
2969631	hCCR6+	CCR6+	ANA36	1040155
2969632	hPTPRC/iso:h6-	CD45RA-	ANA816	1040156
2969633	hCXCR5-	CXCR5-	ANA78	1040156
2969634	hCXCR3+	CXCR3+	ANA76	1040156
2969635	hCCR6+	CCR6+	ANA36	1040156
2969636	hPTPRC/iso:h6-	CD45RA-	ANA816	1040157
2969637	hCXCR5-	CXCR5-	ANA78	1040157
2969638	hPTPRC/iso:h6-	CD45RA-	ANA816	1040158
2969639	hCXCR5-	CXCR5-	ANA78	1040158
2969640	hPTPRC/iso:h6-	CD45RA-	ANA816	1040159
2969641	hCXCR5+	CXCR5+	ANA78	1040159
2969642	hCXCR3-	CXCR3-	ANA76	1040159
2969643	hCCR6-	CCR6-	ANA36	1040159
2969644	hPTPRC/iso:h6-	CD45RA-	ANA816	1040160
2969645	hCXCR5+	CXCR5+	ANA78	1040160
2969646	hCXCR3-	CXCR3-	ANA76	1040160
2969647	hCCR6-	CCR6-	ANA36	1040160
2969648	hPTPRC/iso:h6-	CD45RA-	ANA816	1040161
2969649	hCXCR5+	CXCR5+	ANA78	1040161
2969650	hCXCR3-	CXCR3-	ANA76	1040161
2969651	hCCR6+	CCR6+	ANA36	1040161
2969652	hPTPRC/iso:h6-	CD45RA-	ANA816	1040162
2969653	hCXCR5+	CXCR5+	ANA78	1040162
2969654	hCXCR3-	CXCR3-	ANA76	1040162
2969655	hCCR6+	CCR6+	ANA36	1040162
2969656	hPTPRC/iso:h6-	CD45RA-	ANA816	1040163
2969657	hCXCR5+	CXCR5+	ANA78	1040163
2969658	hCXCR3+	CXCR3+	ANA76	1040163
2969659	hCCR6+	CCR6+	ANA36	1040163
2969660	hPTPRC/iso:h6-	CD45RA-	ANA816	1040164
2969661	hCXCR5+	CXCR5+	ANA78	1040164
2969662	hCXCR3+	CXCR3+	ANA76	1040164
2969663	hCCR6+	CCR6+	ANA36	1040164
2969664	hPTPRC/iso:h6-	CD45RA-	ANA816	1040165
2969665	hCXCR5+	CXCR5+	ANA78	1040165
2969666	hPTPRC/iso:h6-	CD45RA-	ANA816	1040166
2969667	hCXCR5+	CXCR5+	ANA78	1040166
2969668	hPTPRC/iso:h6+	CD45RA+ Naive	ANA816	1040167
2969669	hPTPRC/iso:h6-	CD45RA-	ANA816	1040168
2969670	hCCR7-	CCR7-	ANA37	1040168
2969671	hPTPRC/iso:h6-	CD45RA-	ANA816	1040169
2969672	hCCR7-	CCR7-	ANA37	1040169
2969673	hPTPRC/iso:h6-	CD45RA-	ANA816	1040170
2969674	hCCR7+	CCR7+	ANA37	1040170
2969675	hPTPRC/iso:h6-	CD45RA-	ANA816	1040171
2969676	hCCR7+	CCR7+	ANA37	1040171
2969677	hCXCR5+	CXCR5+	ANA78	1040172
2969678	hCD3E+	CD3+	ANA809	1040173
2969679	hCD4+	CD4+	ANA41	1040173
2969680	hCXCR5+	CXCR5+	ANA78	1040174
2969681	hPTPRC/iso:h6-	CD45RA-	ANA816	1040174
2969682	hCXCR5+	CXCR5+	ANA78	1040175
2969683	hPTPRC/iso:h6-	CD45RA-	ANA816	1040175
2969684	hICOS+	ICOS+	ANA898	1040175
2969685	hCXCR5+	CXCR5+	ANA78	1040176
2969686	hPTPRC/iso:h6-	CD45RA-	ANA816	1040176
2969687	hICOS+	ICOS+	ANA898	1040176
2969688	hIL2RA++	CD25++	ANA163	1040177
2969689	hIL7R+-	CD127+-	ANA182	1040177
2969690	hCD27++	CD27++	ANA40	1040178
2969691	hCD38++	CD38++	ANA808	1040178
2969692	hCD27++	CD27++	ANA40	1040179
2969693	hCD38++	CD38++	ANA808	1040179
2969694	hCD27-	CD27-	ANA40	1040180
2969695	hCD38++	CD38++	ANA808	1040180
2969696	hCD24-	CD24-	ANA807	1040180
2969697	hCD27-	CD27-	ANA40	1040181
2969698	hCD38++	CD38++	ANA808	1040181
2969699	hCD24-	CD24-	ANA807	1040181
2969700	hCD24-	CD24-	ANA807	1040182
2969701	hCD24-	CD24-	ANA807	1040183
2969702	PTPRC/iso:CD45RO+	B220+	ANA822	1040184
2969703	PTPRC/iso:CD45RO+	B220+	ANA822	1040185
2969704	hCR2-	CD21-	ANA919	1040186
2969705	hCR2-	CD21-	ANA919	1040187
2969706	hFAS+	CD95+	ANA85	1040188
2969707	hFAS+	CD95+	ANA85	1040189
2969708	hCXCR3+	CXCR3+	ANA76	1040190
2969709	hCXCR3+	CXCR3+	ANA76	1040191
2969710	hFAS+	CD95+	ANA85	1040192
2969711	hFAS+	CD95+	ANA85	1040193
2969712	PTPRC/iso:CD45RO+	B220+	ANA822	1040194
2969713	PTPRC/iso:CD45RO+	B220+	ANA822	1040195
2969714	hCR2-	CD21-	ANA919	1040196
2969715	hCR2-	CD21-	ANA919	1040197
2969716	hCD24-	CD24-	ANA807	1040198
2969717	hCD24-	CD24-	ANA807	1040199
2969718	hCXCR3+	CXCR3+	ANA76	1040200
2969719	hCXCR3+	CXCR3+	ANA76	1040201
2969720	hCD24-	CD24-	ANA807	1040202
2969721	hCD24-	CD24-	ANA807	1040203
2969722	hFAS+	CD95+	ANA85	1040204
2969723	hFAS+	CD95+	ANA85	1040205
2969724	PTPRC/iso:CD45RO+	B220+	ANA822	1040206
2969725	PTPRC/iso:CD45RO+	B220+	ANA822	1040207
2969726	hCR2-	CD21-	ANA919	1040208
2969727	hCR2-	CD21-	ANA919	1040209
2969728	hCXCR3+	CXCR3+	ANA76	1040210
2969729	hCXCR3+	CXCR3+	ANA76	1040211
2969730	hCR2-	CD21-	ANA919	1040212
2969731	hCR2-	CD21-	ANA919	1040213
2969732	hCD24-	CD24-	ANA807	1040214
2969733	hCD24-	CD24-	ANA807	1040215
2969734	hFAS+	CD95+	ANA85	1040216
2969735	hFAS+	CD95+	ANA85	1040217
2969736	hCXCR3+	CXCR3+	ANA76	1040218
2969737	hCXCR3+	CXCR3+	ANA76	1040219
2969738		95+		1040220
2969739	PTPRC/iso:CD45RO+	B220+	ANA822	1040221
2969740	hCR2-	CD21-	ANA919	1040222
2969741	hCD24-	CD24-	ANA807	1040223
2969742	hCXCR3+	CXCR3+	ANA76	1040224
2969743	hIGHD+	IgD+	ANA813	1040225
2969744	hCD27-	CD27-	ANA40	1040225
2969745	hIGHD+	IgD+	ANA813	1040226
2969746	hCD27+	CD27+	ANA40	1040226
2969747	hIGHD-	IgD-	ANA813	1040227
2969748	hCD27-	CD27-	ANA40	1040227
2969749	hIGHD-	IgD-	ANA813	1040228
2969750	hCD27+	CD27+	ANA40	1040228
2969751		NA		1040229
2969752	PTPRC/iso:CD45RO+	B220+	ANA822	1040230
2969753	PTPRC/iso:CD45RO+	B220+	ANA822	1040231
2969754		NA		1040232
2969755		NA		1040233
2969756	hMME+	CD10+	ANA930	1040234
2969757	hMME+	CD10+	ANA930	1040235
2969758	hMME+	CD10+	ANA930	1040236
2969759	hMME+	CD10+	ANA930	1040237
2969760	hFCER2+	CD23+	ANA922	1040238
2969761	hFCER2+	CD23+	ANA922	1040239
2969762		IGM+		1040240
2969763		IGM+		1040241
2969764	hMME+	CD10+	ANA930	1040242
2969765	hMME+	CD10+	ANA930	1040243
2969766	hFCER2+	CD23+	ANA922	1040244
2969767	hFCER2+	CD23+	ANA922	1040245
2969768		IGM+		1040246
2969769		IGM+		1040247
2969770	hMME+	CD10+	ANA930	1040248
2969771	hMME+	CD10+	ANA930	1040249
2969772	hFCER2+	CD23+	ANA922	1040250
2969773	hFCER2+	CD23+	ANA922	1040251
2969774		IGM+		1040252
2969775		IGM+		1040253
2969776	hFCER2+	CD23+	ANA922	1040254
2969777	hFCER2+	CD23+	ANA922	1040255
2969778		IGM+		1040256
2969779		IGM+		1040257
2969780		T1		1040258
2969781		T1		1040259
2969782		T2		1040260
2969783		T2		1040261
2969784		T3		1040262
2969785		T3		1040263
2969786	hMME+	CD10+	ANA930	1040264
2969787	hMME+	CD10+	ANA930	1040265
2969788		CDIGM+		1040266
2969789		CDIGM+		1040267
2969790		MTG+		1040268
2969791		MTG+		1040269
2969792	hMME+	CD10+	ANA930	1040270
2969793	hMME+	CD10+	ANA930	1040271
2969794	hFCER2+	CD23+	ANA922	1040272
2969795	hFCER2+	CD23+	ANA922	1040273
2969796		IGM+		1040274
2969797		IGM+		1040275
2969798	hMME+	CD10+	ANA930	1040276
2969799	hMME+	CD10+	ANA930	1040277
2969800	hFCER2+	CD23+	ANA922	1040278
2969801	hFCER2+	CD23+	ANA922	1040279
2969802	hFCER2+	CD23+	ANA922	1040280
2969803	hFCER2+	CD23+	ANA922	1040281
2969804		IGM+		1040282
2969805		IGM+		1040283
2969806	hMME+	CD10+	ANA930	1040284
2969807	hMME+	CD10+	ANA930	1040285
2969808	hFCER2+	CD23+	ANA922	1040286
2969809	hFCER2+	CD23+	ANA922	1040287
2969810		IGM+		1040288
2969811		IGM+		1040289
2969812	hMME+	CD10+	ANA930	1040290
2969813	hFCER2+	CD23+	ANA922	1040291
2969814	hIGHD+	IgD+	ANA813	1040292
2969815	hCD27-	CD27-	ANA40	1040292
2969816		MTG-		1040292
2969817	hIGHD+	IgD+	ANA813	1040293
2969818	hCD27-	CD27-	ANA40	1040293
2969819		MTG-		1040293
2969820		IGM+		1040294
2969821	hPTPRC/iso:h6-	CD45RA-	ANA816	1040295
2969822		Memory		1040295
2969823	hPTPRC/iso:h6-	CD45RA-	ANA816	1040296
2969824	hCXCR5-	CXCR5-	ANA78	1040296
2969825	hPTPRC/iso:h6-	CD45RA-	ANA816	1040297
2969826	hCXCR5-	CXCR5-	ANA78	1040297
2969827	hPTPRC/iso:h6-	CD45RA-	ANA816	1040298
2969828	hCXCR5+	CXCR5+	ANA78	1040298
2969829	hPTPRC/iso:h6-	CD45RA-	ANA816	1040299
2969830	hCXCR5+	CXCR5+	ANA78	1040299
2969831	hPTPRC/iso:h6+	CD45RA+ Naive	ANA816	1040300
2969832	hPTPRC/iso:h6-	CD45RA-	ANA816	1040301
2969833	hCCR7-	CCR7-	ANA37	1040301
2969834	hPTPRC/iso:h6-	CD45RA-	ANA816	1040302
2969835	hCCR7-	CCR7-	ANA37	1040302
2969836	hPTPRC/iso:h6-	CD45RA-	ANA816	1040303
2969837	hCCR7+	CCR7+	ANA37	1040303
2969838	hPTPRC/iso:h6-	CD45RA-	ANA816	1040304
2969839	hCCR7+	CCR7+	ANA37	1040304
2969840	hCXCR5+	CXCR5+	ANA78	1040305
2969841	hCD3E+	CD3+	ANA809	1040306
2969842	hCD4+	CD4+	ANA41	1040306
2969843	hCXCR5+	CXCR5+	ANA78	1040307
2969844	hPTPRC/iso:h6-	CD45RA-	ANA816	1040307
2969845	hIL2RA++	CD25++	ANA163	1040308
2969846	hIL7R+-	CD127+-	ANA182	1040308
2969847	hCD27++	CD27++	ANA40	1040309
2969848	hCD38++	CD38++	ANA808	1040309
2969849	hCD27++	CD27++	ANA40	1040310
2969850	hCD38++	CD38++	ANA808	1040310
2969851	hCD27-	CD27-	ANA40	1040311
2969852	hCD38++	CD38++	ANA808	1040311
2969853	hCD24-	CD24-	ANA807	1040311
2969854	hCD27-	CD27-	ANA40	1040312
2969855	hCD38++	CD38++	ANA808	1040312
2969856	hCD24-	CD24-	ANA807	1040312
2969857	hCD24-	CD24-	ANA807	1040313
2969858	hCD24-	CD24-	ANA807	1040314
2969859	PTPRC/iso:CD45RO+	B220+	ANA822	1040315
2969860	PTPRC/iso:CD45RO+	B220+	ANA822	1040316
2969861	hCR2-	CD21-	ANA919	1040317
2969862	hCR2-	CD21-	ANA919	1040318
2969863	hFAS+	CD95+	ANA85	1040319
2969864	hFAS+	CD95+	ANA85	1040320
2969865	hCXCR3+	CXCR3+	ANA76	1040321
2969866	hCXCR3+	CXCR3+	ANA76	1040322
2969867	hFAS+	CD95+	ANA85	1040323
2969868	hFAS+	CD95+	ANA85	1040324
2969869	PTPRC/iso:CD45RO+	B220+	ANA822	1040325
2969870	PTPRC/iso:CD45RO+	B220+	ANA822	1040326
2969871	hCR2-	CD21-	ANA919	1040327
2969872	hCR2-	CD21-	ANA919	1040328
2969873	hCD24-	CD24-	ANA807	1040329
2969874	hCD24-	CD24-	ANA807	1040330
2969875	hCXCR3+	CXCR3+	ANA76	1040331
2969876	hCXCR3+	CXCR3+	ANA76	1040332
2969877	hCD24-	CD24-	ANA807	1040333
2969878	hCD24-	CD24-	ANA807	1040334
2969879	hFAS+	CD95+	ANA85	1040335
2969880	hFAS+	CD95+	ANA85	1040336
2969881	PTPRC/iso:CD45RO+	B220+	ANA822	1040337
2969882	PTPRC/iso:CD45RO+	B220+	ANA822	1040338
2969883	hCR2-	CD21-	ANA919	1040339
2969884	hCR2-	CD21-	ANA919	1040340
2969885	hCXCR3+	CXCR3+	ANA76	1040341
2969886	hCXCR3+	CXCR3+	ANA76	1040342
2969887	hCR2-	CD21-	ANA919	1040343
2969888	hCR2-	CD21-	ANA919	1040344
2969889	hCD24-	CD24-	ANA807	1040345
2969890	hCD24-	CD24-	ANA807	1040346
2969891	hFAS+	CD95+	ANA85	1040347
2969892	hFAS+	CD95+	ANA85	1040348
2969893	hCXCR3+	CXCR3+	ANA76	1040349
2969894	hCXCR3+	CXCR3+	ANA76	1040350
2969895		95+		1040351
2969896	PTPRC/iso:CD45RO+	B220+	ANA822	1040352
2969897	hCR2-	CD21-	ANA919	1040353
2969898	hCD24-	CD24-	ANA807	1040354
2969899	hCXCR3+	CXCR3+	ANA76	1040355
2969900	hIGHD+	IgD+	ANA813	1040356
2969901	hCD27-	CD27-	ANA40	1040356
2969902	hIGHD+	IgD+	ANA813	1040357
2969903	hCD27+	CD27+	ANA40	1040357
2969904	hIGHD-	IgD-	ANA813	1040358
2969905	hCD27-	CD27-	ANA40	1040358
2969906	hIGHD-	IgD-	ANA813	1040359
2969907	hCD27+	CD27+	ANA40	1040359
2969908		NA		1040360
2969909	PTPRC/iso:CD45RO+	B220+	ANA822	1040361
2969910	PTPRC/iso:CD45RO+	B220+	ANA822	1040362
2969911		NA		1040363
2969912		NA		1040364
2969913	hMME+	CD10+	ANA930	1040365
2969914	hMME+	CD10+	ANA930	1040366
2969915	hMME+	CD10+	ANA930	1040367
2969916	hMME+	CD10+	ANA930	1040368
2969917	hFCER2+	CD23+	ANA922	1040369
2969918	hFCER2+	CD23+	ANA922	1040370
2969919		IGM+		1040371
2969920		IGM+		1040372
2969921	hMME+	CD10+	ANA930	1040373
2969922	hMME+	CD10+	ANA930	1040374
2969923	hFCER2+	CD23+	ANA922	1040375
2969924	hFCER2+	CD23+	ANA922	1040376
2969925		IGM+		1040377
2969926		IGM+		1040378
2969927	hMME+	CD10+	ANA930	1040379
2969928	hMME+	CD10+	ANA930	1040380
2969929	hFCER2+	CD23+	ANA922	1040381
2969930	hFCER2+	CD23+	ANA922	1040382
2969931		IGM+		1040383
2969932		IGM+		1040384
2969933	hFCER2+	CD23+	ANA922	1040385
2969934	hFCER2+	CD23+	ANA922	1040386
2969935		IGM+		1040387
2969936		IGM+		1040388
2969937		T1		1040389
2969938		T1		1040390
2969939		T2		1040391
2969940		T2		1040392
2969941		T3		1040393
2969942		T3		1040394
2969943	hMME+	CD10+	ANA930	1040395
2969944	hMME+	CD10+	ANA930	1040396
2969945		CDIGM+		1040397
2969946		CDIGM+		1040398
2969947		MTG+		1040399
2969948		MTG+		1040400
2969949	hMME+	CD10+	ANA930	1040401
2969950	hMME+	CD10+	ANA930	1040402
2969951	hFCER2+	CD23+	ANA922	1040403
2969952	hFCER2+	CD23+	ANA922	1040404
2969953		IGM+		1040405
2969954		IGM+		1040406
2969955	hMME+	CD10+	ANA930	1040407
2969956	hMME+	CD10+	ANA930	1040408
2969957	hFCER2+	CD23+	ANA922	1040409
2969958	hFCER2+	CD23+	ANA922	1040410
2969959	hFCER2+	CD23+	ANA922	1040411
2969960	hFCER2+	CD23+	ANA922	1040412
2969961		IGM+		1040413
2969962		IGM+		1040414
2969963	hMME+	CD10+	ANA930	1040415
2969964	hMME+	CD10+	ANA930	1040416
2969965	hFCER2+	CD23+	ANA922	1040417
2969966	hFCER2+	CD23+	ANA922	1040418
2969967		IGM+		1040419
2969968		IGM+		1040420
2969969	hMME+	CD10+	ANA930	1040421
2969970	hFCER2+	CD23+	ANA922	1040422
2969971	hIGHD+	IgD+	ANA813	1040423
2969972	hCD27-	CD27-	ANA40	1040423
2969973		MTG-		1040423
2969974	hIGHD+	IgD+	ANA813	1040424
2969975	hCD27-	CD27-	ANA40	1040424
2969976		MTG-		1040424
2969977		IGM+		1040425
2969978	hPTPRC/iso:h6-	CD45RA-	ANA816	1040426
2969979		Memory		1040426
2969980	hPTPRC/iso:h6-	CD45RA-	ANA816	1040427
2969981	hCCR6+	CCR6+	ANA36	1040427
2969982	hCCR4+	CCR4+	ANA34	1040427
2969983	hPTPRC/iso:h6-	CD45RA-	ANA816	1040428
2969984	hCCR6+	CCR6+	ANA36	1040428
2969985	hCCR4+	CCR4+	ANA34	1040428
2969986	hPTPRC/iso:h6-	CD45RA-	ANA816	1040429
2969987	hCCR6+	CCR6+	ANA36	1040429
2969988	hCXCR3+	CXCR3+	ANA76	1040429
2969989	hPTPRC/iso:h6-	CD45RA-	ANA816	1040430
2969990	hCCR6+	CCR6+	ANA36	1040430
2969991	hCXCR3+	CXCR3+	ANA76	1040430
2969992	hPTPRC/iso:h6-	CD45RA-	ANA816	1040431
2969993	hCCR6-	CCR6-	ANA36	1040431
2969994	hCCR4+	CCR4+	ANA34	1040431
2969995	hPTPRC/iso:h6-	CD45RA-	ANA816	1040432
2969996	hCCR6-	CCR6-	ANA36	1040432
2969997	hCCR4+	CCR4+	ANA34	1040432
2969998	hPTPRC/iso:h6-	CD45RA-	ANA816	1040433
2969999	hCXCR5-	CXCR5-	ANA78	1040433
2970000	hCXCR3-	CXCR3-	ANA76	1040433
2970001	hCCR6-	CCR6-	ANA36	1040433
2970002	hPTPRC/iso:h6-	CD45RA-	ANA816	1040434
2970003	hCXCR5-	CXCR5-	ANA78	1040434
2970004	hCXCR3-	CXCR3-	ANA76	1040434
2970005	hCCR6-	CCR6-	ANA36	1040434
2970006	hPTPRC/iso:h6-	CD45RA-	ANA816	1040435
2970007	hCXCR5-	CXCR5-	ANA78	1040435
2970008	hCXCR3-	CXCR3-	ANA76	1040435
2970009	hCCR6+	CCR6+	ANA36	1040435
2970010	hPTPRC/iso:h6-	CD45RA-	ANA816	1040436
2970011	hCXCR5-	CXCR5-	ANA78	1040436
2970012	hCXCR3-	CXCR3-	ANA76	1040436
2970013	hCCR6+	CCR6+	ANA36	1040436
2970014	hPTPRC/iso:h6-	CD45RA-	ANA816	1040437
2970015	hCXCR5-	CXCR5-	ANA78	1040437
2970016	hCXCR3+	CXCR3+	ANA76	1040437
2970017	hCCR6+	CCR6+	ANA36	1040437
2970018	hPTPRC/iso:h6-	CD45RA-	ANA816	1040438
2970019	hCXCR5-	CXCR5-	ANA78	1040438
2970020	hCXCR3+	CXCR3+	ANA76	1040438
2970021	hCCR6+	CCR6+	ANA36	1040438
2970022	hPTPRC/iso:h6-	CD45RA-	ANA816	1040439
2970023	hCXCR5-	CXCR5-	ANA78	1040439
2970024	hPTPRC/iso:h6-	CD45RA-	ANA816	1040440
2970025	hCXCR5-	CXCR5-	ANA78	1040440
2970026	hPTPRC/iso:h6-	CD45RA-	ANA816	1040441
2970027	hCXCR5+	CXCR5+	ANA78	1040441
2970028	hCXCR3-	CXCR3-	ANA76	1040441
2970029	hCCR6-	CCR6-	ANA36	1040441
2970030	hPTPRC/iso:h6-	CD45RA-	ANA816	1040442
